43.8752 43.8747 43.873 43.8698 43.8699 43.8684 43.8708 43.8739 43.8826 43.8906 43.9008 43.9095 43.9173 43.9263 43.9361 43.9435 43.9482 43.9566
44.0193 44.021 44.0201 44.0201 44.0194 44.0218 44.0264 44.0336 44.0422 44.0528 44.0626 44.0718 44.0838 44.0919 44.1006 44.1092 44.1164 44.1254
44.1677 44.1702 44.1721 44.1727 44.1764 44.1805 44.1891 44.1977 44.2077 44.2193 44.2299 44.2412 44.2529 44.2623 44.2723 44.2798 44.2882 44.2968
44.3187 44.323 44.3254 44.3318 44.3375 44.347 44.3577 44.3682 44.3815 44.3925 44.407 44.4174 44.4281 44.4396 44.4474 44.4566 44.4649 44.475
44.4744 44.4801 44.4897 44.4973 44.5073 44.519 44.5307 44.5454 44.5604 44.5725 44.5865 44.5987 44.6109 44.6201 44.6293 44.6381 44.6468 44.658
44.6341 44.6457 44.6568 44.6689 44.6819 44.6951 44.71 44.7243 44.7394 44.7553 44.7692 44.7832 44.7941 44.8044 44.8137 44.8231 44.8333 44.8501
44.8011 44.8144 44.829 44.8438 44.8583 44.873 44.8884 44.9046 44.9215 44.9392 44.9559 44.9693 44.9818 44.9918 45.0041 45.0139 45.0248 45.0382
44.9702 44.987 45.0039 45.0186 45.0353 45.0517 45.0674 45.0861 45.1038 45.1228 45.1411 45.1575 45.1708 45.1828 45.1946 45.2087 45.2208 45.237
45.1422 45.1593 45.1752 45.1937 45.211 45.2315 45.2476 45.2648 45.2853 45.3072 45.3265 45.3443 45.3606 45.3747 45.3911 45.4055 45.4195 45.4337
45.31 45.3272 45.3475 45.365 45.3889 45.4066 45.4258 45.4446 45.4675 45.4904 45.5124 45.532 45.5494 45.5667 45.5856 45.6019 45.6193 45.6367
45.4776 45.4992 45.5159 45.5339 45.5588 45.5841 45.6036 45.6261 45.6496 45.6735 45.6962 45.717 45.7414 45.758 45.7781 45.7983 45.8185 45.8387
45.6454 45.6639 45.6882 45.7076 45.7308 45.753 45.7771 45.8041 45.8293 45.8544 45.8788 45.9048 45.925 45.9471 45.9704 45.993 46.0154 46.0374
45.8108 45.8317 45.8521 45.8754 45.8994 45.9232 45.9512 45.9774 46.0057 46.0326 46.0589 46.0839 46.1088 46.1349 46.1598 46.1838 46.2081 46.2313
45.978 45.9989 46.0203 46.0414 46.0747 46.0945 46.1216 46.1516 46.1795 46.2109 46.2379 46.2643 46.2906 46.3203 46.3463 46.3718 46.3962 46.4245
46.1403 46.1638 46.191 46.2132 46.2372 46.2693 46.3067 46.3232 46.352 46.3819 46.4109 46.4396 46.4682 46.4978 46.5261 46.5518 46.5795 46.6065
46.3016 46.3289 46.3555 46.3844 46.4077 46.4379 46.4664 46.4952 46.5233 46.5534 46.5835 46.6105 46.6455 46.6749 46.704 46.729 46.7563 46.7843
46.4632 46.493 46.5216 46.5512 46.579 46.6077 46.6343 46.6619 46.703 46.7265 46.7459 46.7803 46.8102 46.8426 46.8689 46.8973 46.9282 46.9586
